stock_name
aartiind
abb
abbotindia
abcapital
abfrl
acc
adanient
adaniports
alkem
ambujacem
apollohosp
apollotyre
ashokley
asianpaint
astral
atul
aubank
auropharma
axisbank
bajaj-auto
bajajfinsv
bajfinance
balkrisind
balramchin
ban
bandhanbnk
bankbaroda
bankex
bataindia
bel
bergepaint
bharatforg
bhartiartl
bhel
biocon
boschltd
bpcl
britannia
bsoft
canbk
canfinhome
chamblfert
cholafin
cipla
coalindia
coforge
colpal
concor
copper
coromandel
crompton
crudeoil
crudeoilm
cub
cumminsind
dabur
dalbharat
deepakntr
divislab
dixon
dlf
drreddy
eichermot
escorts
exideind
federalbnk
gail
glenmark
gmrinfra
gnfc
godrejcp
godrejprop
gold
goldm
granules
grasim
gujgasltd
hal
half
havells
hcltech
hdfcamc
hdfcbank
hdfclife
heromotoco
hindalco
hindcopper
hindpetro
hindunilvr
holiday
icicibank
icicigi
icicipruli
idea
idfc
idfcfirstb
iex
igl
indhotel
india
indiamart
indigo
indusindbk
industower
infy
ioc
ipcalab
irctc
itc
jindalstel
jkcement
jswsteel
jublfood
kotakbank
lalpathlab
lauruslabs
lichsgfin
lt
ltf
ltim
ltts
lupin
m&m
manappuram
marico
maruti
mcx
metadata
metropolis
mfsl
mgl
motherson
mphasis
mrf
muthootfin
natgasmini
nationalum
naturalgas
naukri
navinfluor
nestleind
nmdc
ntpc
oberoirlty
ofss
ongc
pageind
pel
persistent
petronet
pfc
pidilitind
piind
pnb
polycab
powergrid
pvrinox
ramcocem
rblbank
recltd
reliance
sail
sbicard
sbilife
sbin
sensex
shreecem
shriramfin
siemens
silver
silverm
srf
sunpharma
suntv
syngene
tatachem
tatacomm
tataconsum
tatamotors
tatapower
tatasteel
tcs
techm
titan
torntpharm
trent
tvsmotor
ubl
ultracemco
unitdspr
upl
vedl
voltas
wipro
zinc
zyduslife
